Sentence #,Word,Tag
0,ứng_viên,O
0,cần,O
0,có,O
0,bằng,O
0,thạc_sĩ,O
0,chuyên,O
0,nghành,O
0,khoa_học,O
0,máy_tính,O
0,và,O
0,ielts_6.0,E-bang_cap
0,+,O
1,ad,O
1,biết,O
1,nhiều,O
1,bạn,O
1,muốn,O
1,làm,O
1,phd,O
1,nhưng,O
1,có_thể,O
1,hoặc,O
1,chưa,O
1,đủ,O
1,ielts,E-bang_cap
1,hoặc,O
1,chưa,O
1,thành_thạo,O
1,deep,O
1,learning,O
2,trong,O
2,khi,O
2,các,O
2,bạn,O
2,tiếp_tục,O
2,trao,O
2,dồi,O
2,kiến_thức,O
2,và,O
2,luyện,O
2,ielts,E-bang_cap
3,tuyển,O
3,ai,E-ngon_ngu
3,cho,O
3,mảng,O
3,computer_vision,E-ngon_ngu
3,machine_learning,E-ngon_ngu
3,deep_learning,E-ngon_ngu
3,tối_thiểu,O
3,6-8,O
3,tháng,O
3,kinh_nghiệm,O
4,job,O
4,data_engineer,E-job
4,này,O
4,xinh,O
4,vì,O
4,nắm,O
4,giữ,O
4,cả,O
4,mỏ,O
4,vàng,O
4,dữ_liệu,O
4,của,O
4,viettel,O
5,viettel,O
5,cyberspace,O
5,center,O
5,đang,O
5,thực_hiện,O
5,các,O
5,dự_án,O
5,lớn,O
5,về,O
5,dpi,O
5,bigdata,E-ngon_ngu
5,ai,E-ngon_ngu
5,data_mining,E-ngon_ngu
5,.,O
6,xây_dựng,O
6,thử_nghiệm,O
6,các,O
6,model,O
6,machine_learning,E-ngon_ngu
6,deeplearning,E-ngon_ngu
6,theo,O
6,các,O
6,bài_toán,O
6,cụ_thể,O
7,thạc_sĩ,E-bang_cap
7,là,O
7,một,O
7,văn_bằng,O
7,cao_cấp,O
7,được,O
7,trao,O
7,bởi,O
7,các,O
7,trường,O
7,đại_học,O
7,trên,O
7,toàn,O
7,thế_giới,O
7,.,O
8,đa_số,O
8,master,E-bang_cap
8,yêu_cầu,O
8,đh,O
8,có,O
8,làm,O
8,luận_văn,O
8,tốt,O
9,toeic,E-bang_cap
9,được,O
9,soạn,O
9,dựa,O
9,trên,O
9,toefl,E-bang_cap
9,và,O
9,được,O
9,kiểm_chứng,O
9,công_nhận,O
9,trên,O
9,hầu_hết,O
9,các,O
9,quốc_gia,O
9,trên,O
9,thế_giới,O
10,toefl,E-bang_cap
10,là,O
10,một,O
10,trong,O
10,các,O
10,chứng_chỉ_tiếng_anh,E-bang_cap
10,quốc_tế,O
10,có,O
10,giá_trị,O
10,hiện_nay,O
11,bài,O
11,thi,O
11,ielts,E-bang_cap
11,được,O
11,thiết_kế,O
11,để,O
11,đánh_giá,O
11,khả_năng,O
11,ngôn_ngữ,O
11,của,O
11,mọi,O
11,người,O
12,chứng_chỉ_sat,E-bang_cap
12,là,O
12,một,O
12,trong,O
12,những,O
12,yêu_cầu,O
12,không_thể,O
12,thiếu,O
12,nếu,O
12,bạn,O
12,muốn,O
12,đi,O
12,du_học,O
13,toeic,E-bang_cap
13,toefl,E-bang_cap
13,và,O
13,chứng_chỉ_ielts,E-bang_cap
13,khác,O
13,nhau,O
13,chỗ,O
13,nào,O
13,vậy,O
14,giữa,O
14,các,O
14,chứng_chỉ_ielts,E-bang_cap
14,và,O
14,toefl,E-bang_cap
14,hay,O
14,toeic,E-bang_cap
14,thì,O
14,đâu,O
14,mới,O
14,là,O
14,bằng_cấp,O
14,hữu_ích,O
14,cho,O
14,bạn,O
15,toeic,E-bang_cap
15,có,O
15,khả_năng,O
15,đánh_giá,O
15,khả_năng,O
15,giao_tiếp,O
15,tiếng,O
15,anh,O
16,nếu,O
16,bạn,O
16,có,O
16,ý_định,O
16,đi,O
16,du_học,O
16,định_cư,O
16,nước_ngoài,O
16,thì,O
16,2,O
16,loại,O
16,bằng,O
16,phổ_biến,O
16,và,O
16,thông_dụng,O
16,là,O
16,ielts,E-bang_cap
16,toefl,E-bang_cap
17,các,O
17,nước,O
17,theo,O
17,hệ_thống,O
17,giáo_dục,O
17,anh,O
17,thường,O
17,chỉ,O
17,yêu_cầu,O
17,ielts,E-bang_cap
18,các,O
18,nước,O
18,theo,O
18,hệ_thống,O
18,giáo_dục,O
18,của,O
18,mỹ,O
18,thường,O
18,cần,O
18,đến,O
18,toefl,E-bang_cap
19,toeic,E-bang_cap
19,là,O
19,bài,O
19,thi,O
19,trắc_nghiệm,O
19,được,O
19,tiến_hành,O
19,trong,O
19,2,O
19,giờ,O
20,kết_quả,O
20,đánh_giá,O
20,của,O
20,toeic,E-bang_cap
20,được,O
20,công_nhận,O
20,rộng_rãi,O
20,trên,O
20,khắp,O
20,thế_giới,O
21,toeic,E-bang_cap
21,bắt_đầu,O
21,được,O
21,tổ_chức,O
21,thi,O
21,từ,O
21,năm,O
21,2001,O
21,thông_qua,O
21,đại_diện,O
21,là,O
21,toeic,O
21,việt,O
21,nam,O
21,(,O
21,iig,O
21,),O
22,toeic,E-bang_cap
22,có,O
22,thời_hạn,O
22,trong,O
22,vòng,O
22,2,O
22,năm,O
23,toeic,E-bang_cap
23,dành,O
23,cho,O
23,mọi,O
23,đối_tượng,O
24,ielts,E-bang_cap
24,đánh_giá,O
24,toàn_diện,O
24,4,O
24,kỹ_năng,O
24,nghe,O
24,nói,O
24,đọc,O
24,và,O
24,viết,O
25,ielts,E-bang_cap
25,được,O
25,công_nhận,O
25,rộng_rãi,O
25,khắp,O
25,nơi,O
25,trên,O
25,thế_giới,O
26,ielts,E-bang_cap
26,cũng,O
26,sẽ,O
26,có,O
26,hiệu_lực,O
26,trong,O
26,vòng,O
26,2,O
26,năm,O
26,.,O
27,bài,O
27,thi,O
27,toefl,E-bang_cap
27,kéo_dài,O
27,trong,O
27,4,O
27,giờ,O
27,và,O
27,gồm,O
27,có,O
27,4,O
27,phần,O
28,toefl,E-bang_cap
28,quốc_tế,O
28,bằng,O
28,này,O
28,do,O
28,hệ_thống,O
28,giáo_dục,O
28,của,O
28,mỹ,O
28,tổ_chức,O
28,thi,O
28,và,O
28,cấp,O
28,bằng,O
28,.,O
29,mình,O
29,nên,O
29,học,O
29,toeic,E-bang_cap
29,hay,O
29,ielts,E-bang_cap
29,hoặc,O
29,toefl,E-bang_cap
29,để,O
29,đáp_ứng,O
29,được,O
29,mục_tiêu,O
29,cá_nhân,O
29,đây,O
30,cả,O
30,toeic,E-bang_cap
30,và,O
30,ielts,E-bang_cap
30,cũng,O
30,như,O
30,toefl,E-bang_cap
30,đều,O
30,là,O
30,các,O
30,chứng_chỉ_ngoại_ngữ,E-bang_cap
31,đặc_biệt,O
31,với,O
31,những,O
31,trường,O
31,lớn,O
31,yêu_cầu,O
31,càng,O
31,khắt_khe,O
31,với,O
31,chứng_chỉ_toeic,E-bang_cap
31,ielts,E-bang_cap
32,thang,O
32,điểm,O
32,ielts,E-bang_cap
32,và,O
32,cách,O
32,tính,O
32,điểm,O
32,ielts,E-bang_cap
32,chuẩn,O
32,nhất,O
33,học,O
33,ielts,E-bang_cap
33,ngay,O
33,để,O
33,săn,O
33,học_bổng,O
33,bởi,O
33,tiêu_chuẩn,O
33,hồ_sơ,O
33,du_học,O
33,phải,O
33,có,O
33,chứng_chỉ,O
33,ít_nhất,O
33,5.0_-_6.5_ielts,E-bang_cap
33,.,O
34,sv,O
34,cần,O
34,đạt,O
34,chuẩn,O
34,tiếng,O
34,anh,O
34,"ielts_từ_6,5",E-bang_cap
34,trở,O
34,lên,O
35,ngành,O
35,ngôn_ngữ,O
35,anh,O
35,theo,O
35,mức,O
35,điểm,O
35,"7,0_ielts",E-bang_cap
35,trở,O
35,lên,O
36,trước,O
36,khi,O
36,đưa,O
36,ra,O
36,mức,O
36,điểm,O
36,530_toeic,E-bang_cap
36,trường,O
36,có,O
36,căn_cứ,O
36,trên,O
36,cơ_sở,O
36,thực_tế,O
36,kiểm_tra,O
36,trình_độ,O
36,người,O
36,học,O
37,hsk,E-bang_cap
37,là,O
37,chứng_chỉ,O
37,ngoại_ngữ,O
37,tiếng,O
37,trung,O
38,để,O
38,du_học,O
38,trung_quốc,O
38,cần,O
38,hsk,E-bang_cap
38,trên,O
38,5.0,O
39,hsk,E-bang_cap
39,học,O
39,có,O
39,khó,O
39,không,O
40,chứng_chỉ,O
40,tiếng,O
40,hàn,O
40,là,O
40,topik,E-bang_cap
41,chứng_chỉ,O
41,ngôn_ngữ,O
41,phổ_biến,O
41,hsk,E-bang_cap
41,topik,E-bang_cap
41,toiec,E-bang_cap
42,samsung,O
42,có,O
42,ưu_tiên,O
42,sinh_viên,O
42,có,O
42,chứng_chỉ,O
42,topik,E-bang_cap
42,không,O
43,chứng_chỉ,O
43,tiếng,O
43,anh,O
43,a1,E-bang_cap
43,a2,E-bang_cap
43,-,O
43,khung,O
43,năng_lực,O
43,6,O
43,bậc,O
44,tôi,O
44,muốn,O
44,đi,O
44,du_học,O
44,trung,O
44,mà,O
44,không,O
44,có,O
44,hsk,E-bang_cap
44,có,O
44,được,O
44,không,O
45,nên,O
45,học,O
45,chứng_chỉ,O
45,ngôn_ngữ,O
45,nào,O
45,toeic,E-bang_cap
45,hsk,E-bang_cap
46,topik,E-bang_cap
46,có,O
46,bao_nhiêu,O
46,phần,O
46,thi,O
47,lệ_phí,O
47,thi,O
47,chứng_chỉ,O
47,topik,E-bang_cap
47,là,O
47,bao_nhiêu,O
48,có,O
48,được,O
48,miễn,O
48,học,O
48,khi,O
48,có,O
48,chứng_chỉ,O
48,toiec,E-bang_cap
49,hàng,O
49,tháng,O
49,được,O
49,thêm,O
49,lương,O
49,khi,O
49,có,O
49,topik,E-bang_cap
49,mấy,O
50,học,O
50,toiec,E-bang_cap
50,ở,O
50,đâu,O
51,nên,O
51,học,O
51,toiec,E-bang_cap
51,ở,O
51,nơi,O
51,nào,O
52,học,O
52,topik,E-bang_cap
52,ở,O
52,trần,O
52,minh,O
52,hưng,O
52,được,O
52,không,O
53,trung_tâm,O
53,ielts,E-bang_cap
53,nào,O
53,tốt,O
53,nhất,O
54,các,O
54,top,O
54,trung_tâm,O
54,ielts,E-bang_cap
54,trên,O
54,hà_nội,O
54,nào,O
54,nổi_tiếng,O
55,gía,O
55,học,O
55,toefl,E-bang_cap
55,có,O
55,đắt,O
55,không,O
56,học,O
56,topik,E-bang_cap
56,có,O
56,đắt,O
56,không,O
57,một,O
57,khóa,O
57,học,O
57,hsk,E-bang_cap
57,tầm,O
57,bao_nhiêu,O
57,tiền,O
58,có,O
58,khóa,O
58,học,O
58,nào,O
58,10,O
58,triêu,O
58,học,O
58,hsk,E-bang_cap
58,không,O
59,em,O
59,muốn,O
59,xin,O
59,lộ_trình,O
59,học,O
59,hsk,E-bang_cap
60,có,O
60,lộ_trình,O
60,hsk,E-bang_cap
60,nào,O
60,cho,O
60,người,O
60,mới,O
60,bắt_đầu,O
60,không,O
61,hsk,E-bang_cap
61,có,O
61,thực_sự,O
61,cần,O
61,cho,O
61,du_học,O
61,trung_quốc,O
62,bài,O
62,thi,O
62,hsk,E-bang_cap
62,có,O
62,bao_nhiêu,O
62,phần,O
63,bao_nhiêu,O
63,lâu,O
63,để,O
63,đạt,O
63,được,O
63,hsk_5,E-bang_cap
64,công_ty,O
64,có,O
64,tuyển,O
64,nhân_viên,O
64,không,O
64,chứng_chỉ_tiếng_anh,E-bang_cap
64,không,O
65,chứng_chỉ_ngoại_ngữ,E-bang_cap
65,nào,O
65,cần,O
65,cho,O
65,du_học,O
65,pháp,O
66,tôi,O
66,muốn,O
66,xin,O
66,du_học,O
66,thì,O
66,cần,O
66,chứng_chỉ_tiếng_anh,E-bang_cap
66,nào,O
67,các,O
67,loại,O
67,chứng_chỉ_tiếng_anh,E-bang_cap
67,nào,O
67,thông_dụng,O
68,học,O
68,ielts_6.0,E-bang_cap
68,mất,O
68,bao_lâu,O
69,bao_lâu,O
69,thì,O
69,có_thể,O
69,đạt,O
69,được,O
69,topik_5,E-bang_cap
70,samsung,O
70,tăng,O
70,lương,O
70,cho,O
70,người,O
70,có,O
70,topik,E-bang_cap
70,à,O
71,đại_học,O
71,thái_nguyên,O
71,tổ_chức,O
71,bồi_dưỡng,O
71,và,O
71,thi,O
71,tiếng,O
71,anh,O
71,a2,E-bang_cap
71,b1,E-bang_cap
72,chứng_chỉ,O
72,hsk,E-bang_cap
72,chưa,O
72,có,O
72,sẽ,O
72,học,O
72,1,O
72,năm,O
72,tiếng,O
73,các,O
73,chứng_chỉ_ngoại_ngữ,E-bang_cap
73,(,O
73,nếu,O
73,có,O
73,),O
73,:,O
73,chứng_chỉ_hsk,E-bang_cap
73,ielts,E-bang_cap
73,toefl,E-bang_cap
74,toiec,E-bang_cap
74,bao_nhiêu,O
74,để,O
74,ra,O
74,được,O
74,trường,O
75,450_toiec,E-bang_cap
75,có,O
75,đổi,O
75,ra,O
75,được,O
75,a,O
75,+,O
75,không,O
76,đổi,O
76,điểm,O
76,toiec,E-bang_cap
76,chưa,O
76,mày,O
76,ơi,O
77,sau,O
77,vào,O
77,công_ty,O
77,đi,O
77,học,O
77,ielts,E-bang_cap
77,đi,O
78,tau,O
78,với,O
78,mi,O
78,đi,O
78,học,O
78,ielts,E-bang_cap
78,đi,O
79,học,O
79,ielts,E-bang_cap
79,sau,O
79,còn,O
79,xin,O
79,đi,O
79,du_học,O
80,bây_giờ,O
80,đi,O
80,du_học,O
80,chỉ,O
80,cần,O
80,ielts_trên_6.0,E-bang_cap
80,là,O
80,được,O
80,rồi,O
81,bên,O
81,viettel,O
81,yêu_cầu,O
81,tối_thiểu,O
81,toeic_450,E-bang_cap
81,đó,O
82,trước,O
82,tau,O
82,đi,O
82,phỏng_vấn,O
82,trượt,O
82,vì,O
82,toefl,E-bang_cap
83,sao,O
83,không,O
83,thấy,O
83,mấy,O
83,người,O
83,đi,O
83,học,O
83,toefl,E-bang_cap
83,nhỉ,O
84,việt,O
84,nam,O
84,toàn,O
84,học,O
84,toeic,E-bang_cap
84,với,O
84,ielts,E-bang_cap
84,thôi,O
85,du_học,O
85,thạc,O
85,sỹ,O
85,bên,O
85,trung,O
85,yêu_cầu,O
85,hsk_5,E-bang_cap
85,trở,O
85,lên,O
86,không,O
86,biết,O
86,du_học,O
86,hàn,O
86,có,O
86,cần,O
86,topik,E-bang_cap
86,không,O
87,bọn,O
87,sinh_viên,O
87,ngoại_ngữ,O
87,toàn,O
87,ielts_7,E-bang_cap
87,chấm,O
88,bạn,O
88,tau,O
88,vừa,O
88,được,O
88,hsk_6,E-bang_cap
88,gê,O
88,vãi,O
88,mày,O
88,ạ,O
89,các,O
89,thầy,O
89,trường,O
89,mình,O
89,toàn,O
89,ielts_7.0,E-bang_cap
90,thầy,O
90,nam,O
90,đi,O
90,du_học,O
90,có,O
90,650_toeic,E-bang_cap
90,thôi,O
91,biết,O
91,thế,O
91,hồi,O
91,năm,O
91,nhất,O
91,tau,O
91,thi,O
91,mẹ,O
91,toiec,E-bang_cap
91,cho,O
91,rồi,O
92,edutalk,O
92,đào_tạo,O
92,toiec,E-bang_cap
92,như,O
92,lol,O
93,tau,O
93,vẫn,O
93,cay_cú,O
93,vụ,O
93,học,O
93,hsk,E-bang_cap
93,ở,O
93,edutalk,O
94,tau,O
94,vừa,O
94,đăng_kí,O
94,lớp,O
94,tiếng,O
94,hàn,O
94,topik_4,E-bang_cap
94,ở,O
94,chỗ,O
94,chị,O
94,thảo,O
94,mi,O
94,à,O
95,không,O
95,biết,O
95,nên,O
95,đi,O
95,học,O
95,topik,E-bang_cap
95,không,O
95,nữa,O
96,lo_lắng,O
96,quá,O
96,tau,O
96,sắp,O
96,thi,O
96,toiec,E-bang_cap
96,rồi,O
97,ngại,O
97,đi,O
97,học,O
97,toiec,E-bang_cap
97,dã_man,O
98,trần,O
98,minh,O
98,hưng,O
98,dạy,O
98,toiec,E-bang_cap
98,ngon,O
98,vãi,O
98,ra,O
99,mi,O
99,chỉ,O
99,tau,O
99,chỗ,O
99,học,O
99,toiec,E-bang_cap
99,đi,O
100,mi,O
100,chỉ,O
100,tau,O
100,mấy,O
100,chỗ,O
100,mi,O
100,học,O
100,hsk,E-bang_cap
100,đi,O
101,ưu_tiên,O
101,có,O
101,chứng_chỉnh,O
101,toiec,E-bang_cap
101,toefl,E-bang_cap
101,ielts,E-bang_cap
101,hoặc,O
101,liên_quan,O
102,đi,O
102,làm,O
102,người_ta,O
102,không,O
102,quan_tâm,O
102,toiec,E-bang_cap
102,đâu,O
103,bjt,E-bang_cap
103,là,O
103,chứng_chỉ_tiếng_nhật,E-bang_cap
103,à,O
104,tiếng,O
104,nhật,O
104,mi,O
104,n4,E-bang_cap
104,à,O
105,tiếng,O
105,nhật,O
105,mi,O
105,n,E-bang_cap
105,mấy,O
105,rồi,O
106,học,O
106,tiếng,O
106,nhật,O
106,bao_lâu,O
106,để,O
106,được,O
106,n4,E-bang_cap
107,một,O
107,năm,O
107,có,O
107,bao_nhiêu,O
107,tháng,E-thang
108,tháng_1,E-thang
108,trong,O
108,tiếng,O
108,anh,O
108,là,O
108,gì,O
109,tháng_một,E-thang
109,trong,O
109,tiếng,O
109,anh,O
109,là,O
109,gì,O
110,tháng_mấy,E-thang
110,được,O
110,nghỉ_hè,O
111,cuối_tháng,E-thang
111,đi,O
111,chơi,O
111,đi,O
112,tháng_5,E-thang
112,tau,O
112,đi,O
112,miền,O
112,nam,O
112,chơi,O
113,tháng_sau,E-thang
113,đi,O
113,đâu,O
113,chơi,O
113,đi,O
114,tháng_sau,E-thang
114,là,O
114,tết,O
114,rồi,O
115,mi,O
115,sinh,O
115,tháng_6,E-thang
115,à,O
116,quốc_khánh,O
116,mùng,O
116,hai,O
116,tháng_chín,E-thang
116,được,O
116,nghỉ,O
116,mấy,O
116,ngày,O
117,tháng_sau,E-thang
117,nghỉ_hè,O
117,rồi,O
117,bạn,O
117,ơi,O
118,tháng_trước,E-thang
118,thi,O
118,advance,O
118,rồi,O
119,sao,O
119,một_tháng,E-thang
119,mi,O
119,không,O
119,đi,O
119,học,O
120,tháng_giêng,E-thang
120,hoa_đào,O
120,bừng,O
120,nở,O
120,đón,O
120,xuân,O
120,khoe,O
120,sắc,O
120,hồng,O
120,tươi,O
121,tháng_hai,E-thang
121,hoa_ban,O
121,ngập_tràn,O
121,tím,O
121,biếc,O
121,những,O
121,gương_mặt,O
121,phố,O
122,tháng_ba,E-thang
122,bất_chợt,O
122,một,O
122,ngày,O
122,trắng_tinh_hoa,O
122,sưa,O
122,về,O
122,đây,O
123,tháng_tư,E-thang
123,loa_kèn,O
123,mỏng_manh,O
123,những,O
123,góc_phố,O
123,con,O
123,đường,O
123,quen,O
124,mùa,O
124,hoa,O
124,tháng_năm,E-thang
124,cháy_rực,O
124,phượng,O
124,đỏ,O
125,hồ,O
125,tây,O
125,ngát,O
125,hương,O
125,mùa,O
125,sen,O
125,tháng_sáu,E-thang
126,ngập,O
126,tràn,O
126,lối,O
126,đi,O
126,hoa,O
126,sấu,O
126,tháng_bảy,E-thang
127,trở,O
127,về,O
127,tuổi_thơ,O
127,hoa,O
127,soan,O
127,tháng_tám,E-thang
128,mùa,O
128,hoa_sữa,O
128,rơi,O
128,tháng_chín,E-thang
128,nồng_nàn,O
129,tết,O
129,nguyên_đán,O
129,thường,O
129,vào,O
129,tháng_1,E-thang
129,hoặc,O
129,tháng_2,E-thang
129,dương_lịch,O
130,tháng_củ_mật,E-thang
130,là,O
130,tháng_12_âm_lịch,E-thang
130,nhé,O
131,tháng_sau,E-thang
131,tau,O
131,đi,O
131,làm,O
131,rồi,O
132,không,O
132,biết,O
132,tháng_mấy,E-thang
132,mình,O
132,vào,O
132,làm,O
132,chính_thức,O
133,tháng_này,E-thang
133,có,O
133,hoa_cúc,O
133,họa,O
133,mi,O
133,đó,O
134,tháng_tư,E-thang
134,là,O
134,lời_nói,O
134,rối,O
134,của,O
134,em,O
135,tháng_4,E-thang
135,là,O
135,lời_nói,O
135,rối,O
135,của,O
135,em,O
136,tháng_sáu,E-thang
136,nắng,O
136,bỏ_mẹ,O
136,ra,O
137,mi,O
137,sinh,O
137,tháng_sáu,E-thang
137,à,O
138,tháng_bảy,E-thang
138,của,O
138,anh_em,O
138,và,O
138,cô_đơn,O
139,tháng_2,E-thang
139,phát_hành,O
139,tốc_chiến,O
139,à,O
140,tháng_chín_năm_ngoái,E-thang
140,có,O
140,giải,O
140,bang,O
140,bang,O
140,đó,O
141,tháng_hai,E-thang
141,có,O
141,29,O
141,ngày,O
142,tháng_12,E-thang
142,nhanh,O
142,vãi,O
142,ra,O
143,tháng_này,E-thang
143,chưa,O
143,kịp,O
143,làm,O
143,gì,O
143,đã,O
143,hết,O
143,tháng,O
144,ra,O
144,giêng,E-thang
144,mình,O
144,cưới,O
144,nhau,O
144,đi,O
145,tháng_mười,E-thang
145,hai,O
145,cưới,O
145,à,O
146,sao,O
146,không,O
146,cưới,O
146,vào,O
146,tháng_bảy,E-thang
147,tháng_bảy,E-thang
147,toàn,O
147,mưa,O
147,không,O
147,à,O
148,ngưu,O
148,lang,O
148,chúc,O
148,nữ,O
148,gặp,O
148,nhau,O
148,ngày,O
148,mùng_7_tháng_7,E-thang
149,càn,O
149,long,O
149,sinh,O
149,tháng_2,E-thang
149,nhé,O
150,tháng_sau,E-thang
150,lớp,O
150,tiếng,O
150,anh,O
150,khai_giảng,O
150,nhé,O
151,tau,O
151,vừa,O
151,thi,O
151,tháng_trước,E-thang
151,rồi,O
152,tháng_8,E-thang
152,trăng_tròn,O
153,tháng_tám,E-thang
153,có,O
153,tết,O
153,trung_thu,O
154,còn,O
154,vài,O
154,ngày,O
154,nữa,O
154,là,O
154,rằm,O
154,tháng_8,E-thang
155,bên,O
155,công_ty,O
155,tháng_này,E-thang
155,có,O
155,tuyển,O
155,người,O
155,không,O
155,ạ,O
156,tháng_2,E-thang
156,công_ty,O
156,có,O
156,tuyển,O
156,nhân_sự,O
156,không,O
156,ạ,O
157,tháng_năm,E-thang
157,không,O
157,trở_lại,O
158,tháng_cô_hồ,E-thang
158,là,O
158,tháng_mấy,E-thang
159,tháng_7,E-thang
159,âm_lịch,O
159,là,O
159,tháng,O
159,cô_hồn,O
160,đúng,O
160,là,O
160,tháng_cô_hồ,E-thang
160,mà,O
160,xui,O
160,vãi,O
160,ra,O
161,tháng_sáu,E-thang
161,của,O
161,anh,O
162,tau,O
162,mới,O
162,mua,O
162,nó,O
162,tháng_3,E-thang
162,năm,O
162,vừa_rồi,O
163,tháng_11,E-thang
163,là,O
163,no,O
163,nut,O
163,november,O
164,sơn,O
164,tùng,O
164,mới,O
164,ra,O
164,bài,O
164,đợt,O
164,tháng_5,E-thang
164,đó,O
165,tháng_6,E-thang
165,sang,O
165,năm,O
165,có,O
165,sea,O
165,game,O
166,ngày_10_tháng_10,E-thang
166,lý,O
166,công,O
166,uẩn,O
166,rời,O
166,đô,O
166,từ,O
166,hoa,O
166,lư,O
166,ninh_bình,O
166,ra,O
166,thăng_long,O
167,từ,O
167,tháng_5,E-thang
167,nước,O
167,ta,O
167,đổi,O
167,tên,O
167,là,O
167,đại,O
167,ngu,O
168,bác,O
168,hồ,O
168,đọc,O
168,bản,O
168,tuyên_ngôn,O
168,độc_lập,O
168,ngày,O
168,mùng_2_tháng_chín,E-thang
169,12/10/1998,E-thang
169,là,O
169,sinh_nhật,O
169,tau,O
169,nhé,O
170,5/1911,E-thang
170,bác,O
170,hồ,O
170,ra_đi,O
170,tìm,O
170,đường,O
170,cứu,O
170,nước,O
171,việt,O
171,nam,O
171,gia_nhập,O
171,asean,O
171,10/1995,E-thang
172,liên_hợp,O
172,quốc,O
172,được,O
172,thành_lập,O
172,24_tháng_10_1945,E-thang
173,phong_trào,O
173,giải_phóng,O
173,dân_tộc,O
173,và,O
173,tổng_khởi_nghĩa,O
173,tháng_tám_(_1939_-_1945_),E-thang
174,nước,O
174,việt,O
174,nam,O
174,dân_chủ,O
174,cộng,O
174,hòa,O
174,từ,O
174,sau,O
174,ngày,O
174,2-9-1945,E-thang
174,đến,O
174,trước,O
174,ngày,O
174,19-12-1946,E-thang
175,lan,O
175,anh,O
175,sinh,O
175,tháng_4,E-thang
175,à,O
176,tháng_tư,E-thang
176,này,O
176,có,O
176,sinh_nhật,O
176,bạn,O
176,hòa,O
176,và,O
176,bạn,O
176,lan,O
176,anh,O
177,tháng_sau,E-thang
177,chúng,O
177,mi,O
177,có,O
177,đi,O
177,sinh_nhật,O
177,tau,O
177,không,O
178,chắc,O
178,tháng_1,E-thang
178,mình,O
178,mới,O
178,vào,O
178,công_ty,O
179,tau,O
179,đoán,O
179,sau,O
179,tết,O
179,tháng_3,E-thang
179,mình,O
179,mới,O
179,vào,O
179,làm,O
179,chính_thức,O
180,tháng_11,E-thang
180,và,O
180,tháng_12,E-thang
180,tau,O
180,đi,O
180,thực_tập,O
180,viettel,O
180,đã,O
181,tháng_này,E-thang
181,có,O
181,phim,O
181,mới,O
181,mày,O
181,ơi,O
182,bầu_cử,O
182,tổng_thống,O
182,mỹ,O
