Sentence,Intent
"- Hồ sơ của tôi bị thiếu có bị loại không
",brief
"- Thông tin nào cần có trong CV
",brief
- Những thứ cần có trong hồ sơ xin việc,brief
"- Hồ sơ xin việc cần những gì
",brief
"- CV xin việc cần điền những nội dung gì
",brief
"- Hồ sơ xin việc cần có những gì
",brief
"- Các giấy tờ cần có trong hồ sơ xin việc
",brief
"- CV cần những gì
",brief
"- CV cần phải điền những gì
",brief
"- Tôi mất chứng minh nhân dân thì phải làm sao để ứng tuyển
",brief
"- CV cần có những thông tin nào
",brief
"- CV cần có những thông tin nào
",brief
"- Hồ sơ xin việc gồm loại giấy tờ nào
",brief
"- Đăng ký svmc cần những giấy tờ gì
",brief
"- Hồ sơ xin việc gồm loại giấy tờ nào
",brief
"- Hồ sơ xin việc cần có những gì
",brief
"- Tôi cần công chứng những gì để làm hồ sơ
",brief
"- Hồ sơ tuyển dụng gồm những gì
",brief
"- CV xin việc cần những gì
",brief
"- Trong hồ sơ xin việc cần những cái gì
",brief
"- Hồ sơ xin việc gồm loại giấy tờ nào
",brief
"- Hồ sơ xin việc svmc yêu cầu những gì
",brief
"- Ứng tuyển svmc cần photo sổ đỏ không
",brief
"- Hồ sơ xin việc ra sao
",brief
"- Ứng tuyển svmc cần chứng minh nhân dân không
",brief
"- Sơ yếu lý lịch cần viết chi tiết không
",brief
"- Hồ sơ xin việc cần có những gì?
",brief
"- Ứng tuyển svmc cần bằng cấp 3 không
",brief
"- Hồ sơ của tôi thiếu chứng minh nhân dân có được không
",brief
"- Những thứ cần có trong hồ sơ xin việc
",brief
"- Hồ sơ của tôi không có bản sao sổ hộ khẩu có sao không
",brief
"- Phải chuẩn bị giấy tờ gì để ứng tuyển svmc
",brief
"- Hồ sơ xin việc cần có những gì?
",brief
"- Cv xin việc có yêu cầu gì không
",brief
"- Sơ yếu lý lịch cần công chứng không
",brief
"- Hồ sơ xin việc cần đơn xin việc không
",brief
"- Hồ sơ xin việc cần công chứng những gì
",brief
"- Đăng ký svmc cần chuẩn bị hồ sơ như nào
",brief
"- Tôi không nộp đơn xin việc có bị loại không
",brief
"- Hồ sơ xin việc gồm những cái gì
",brief
"- CV cần những gì
",brief
"- Phải chuẩn bị giấy tờ gì để ứng tuyển vào công ty
",brief
"- CV cần những giấy tờ gì
",brief
"- Tôi mất chứng minh nhân dân thì có ứng tuyển được không
",brief
"- CV cần những giấy tờ gì
",brief
"- Trong hồ sơ xin việc cần những cái gì
",brief
"- Ứng tuyển svmc cần căn cước công dân không
",brief
"- Hồ sơ thiếu giấy tờ có bị bỏ không
",brief
"- Thông tin nào cần có trong CV
",brief
"- Cần chuẩn bị những giấy tờ gì để ứng tuyển
",brief
"- Hồ sơ xin việc gồm loại giấy tờ nào
",brief
"- Hồ sơ tuyển dụng cần những gì
",brief
"- Cảm ơn bot
",bye
"- Hẹn gặp lại
",bye
"- Mau mau lượn
",bye
"- Next
",bye
"- Uh
",bye
"- Many thanks
",bye
"- Oke
",bye
"- Thanks
",bye
"- Cảm ơn bạn nhiều
",bye
"- Dừng
",bye
"- Tạm biệt nhé
",bye
"- Ok
",bye
"- Cảm ơn
",bye
"- Bye
",bye
"- Thân ái và chào tạm biệt
",bye
"- Biến đi
",bye
"- Cảm ơn bạn nhiều
",bye
"- Thôi tôi xin ông
",bye
"- Oke oke
",bye
"- Em cảm ơn ạ
",bye
"- Cút đi
",bye
"- Đi ngủ đây
",bye
"- Ukm
",bye
"- Xéo đi
",bye
"- Cảm ơn ad
",bye
"- Cút xéo đi
",bye
"- Lượn đi
",bye
"- Oke cảm ơn
",bye
"- Oke thanks
",bye
"- Chào 
",bye
"- Off đây
",bye
"- Oke la
",bye
"- Cảm ơn admin
",bye
- Dừng mẹ mày đi,bye
"- Vĩnh biệt
",bye
"- Cảm ơn bạn nhé
",bye
"- Thank you
",bye
- các quán ăn gần công ty không,canteen
"- công ty có căng tin không
",canteen
"- căng tin của công ty chỗ nào
",canteen
"- các quán ăn cho công ty ở đâu
",canteen
"- trong công ty có chỗ ăn cho nhân viên không
",canteen
"- trong công ty có căng tin hay là ăn bên ngoài
",canteen
"- công ty có quán ăn hay căng tin gì không
",canteen
"- gần công ty có quán ăn ông
",canteen
"- trong công ty có phòng pantree không
",canteen
"- có chỗ ăn gần công ty không
",canteen
"- nhà ăn ở đâu
",canteen
"- công ty có nhà ăn buổi trưa không
",canteen
"- ăn trưa ở công ty chỗ nào
",canteen
"- có nhiều quán ăn bên cạnh công ty không
",canteen
"- trong công ty có chỗ ăn uống cho nhân viên không
",canteen
"- Công ty có canteen không
",canteen
"- Công ty có chỗ ăn nào không
",canteen
"- Canteen công ty thế nào
",canteen
"- Công ty có chỗ ăn không
",canteen
"- Canteen có không
",canteen
"- có dễ dàng mua đồ ăn trong công ty không
",canteen
"- trong công ty có quán bánh mỳ hay bún gì không
",canteen
"- Canteen công ty nằm chỗ nào
",canteen
"- công ty có nhà bếp cho nhân viên không
",canteen
"- ăn uống trong công ty ra sao, có gần không
",canteen
"- căng tin ở tầng mấy của công ty
",canteen
"- có nhiều quán ăn không
",canteen
"- ăn uông trong công ty ở chỗ nào
",canteen
"- Có canteen không
",canteen
"- bếp ăn cho nhân viên có rộng không
",canteen
"- có căng tin cho nhân viên bên trong công ty không
",canteen
"- ăn uống như thế nào
",canteen
"- có bếp ăn cho nhân viên tại công ty không
",canteen
"- Công ty có câu lạc bộ gym không
",club
"- có nhiều hoạt động và câu lạc bộ không
",club
"- Ngoài giờ làm việc thì có những hoạt động thể dục thể thao nào
",club
"- trong công ty có nhiều người chơi lol, aoe không
",club
"- Hoạt động thể dục thể thao của công ty thế nào
",club
"- Công ty có nhiều câu lạc bộ không
",club
"- công ty có các câu lạc bộ gì 
",club
"- Công ty có câu lạc bộ gì không
",club
"- Hoạt động thể dục thể thao của SVMC thế nào
",club
"- có giải đấu đá bóng không
",club
"- Công ty có nhiều các hoạt động thể dục thể thao không
",club
- có các hoạt động thể thao nào,club
"- Công ty có câu lạc bộ dạy học không
",club
"- trong công ty có những hội thao nào
",club
"- Anh chị có tạo câu lạc bộ gì không
",club
"- Hoạt động thể dục thể thao thế nào
",club
"- Trong công ty có club gì không
",club
"- Ad cho xin thông tin về các hoạt động thể dục thể thao
",club
"- Hoạt động thể dục thể thao có không
",club
"- Công ty có câu lạc bộ nào không
",club
"- Mọi người có thành lập câu lạc bộ nào không
",club
"- cuối tuần công ty có các hoạt động ngoại khóa nào
",club
"- công ty có tổ chức giải đấu thể thao nhân viên không
",club
"- trong công ty có các team thể thao điện tử không
",club
"- Ngoài giờ làm vệc có hoạt động thể dục thể thao không
",club
"- Anh chị có tạo club riêng không
",club
"- trong công ty có câu lạc bộ esport không
",club
"- hoạt động thể thao trong công ty như thế nào
",club
"- Công ty có club dành cho người tập gym không
",club
"- SVMC có những hoạt động thể dục thể thao nào
",club
"- Hoạt động thể dục thể thao thì sao
",club
"- ad có chơi lol không
",club
"- Công ty có những hoạt động thể dục thể thao nào
",club
"- trong công ty có câu lạc bộ đá bóng không
",club
"- Công ty có câu lạc bộ nhảy không
",club
"- công ty có hỗ trợ gì cho các team thể thao điện tử
",club
"- Vào công ty có tạo club được không
",club
"- Có hoạt động thể dục thể thao không
",club
"- các bộ môn thể thao nào có trong công ty
",club
"- Công ty có club nào không
",club
"- SVMC có các hoạt động thể dục thể thao không
",club
"- Ad cho hỏi nhân viên mới vào công ty được đào tạo những gì
",condition
"- Các chính sách đào tạo nhân viên mới có những gì
",condition
"- nghe nói samsung chỉ toàn tester ạ
",condition
"- Svmc có đào tạo trước không
",condition
"- trong công ty có được học AI không
",condition
"- Có bộ phận nào làm ai không
",condition
"- Điều kiện phát triển như nào
",condition
"- trong đó có dạy cả tiếng nhật ạ
",condition
"- samsung toàn làm web ạ
",condition
"- Vào svmc có thể phát triển được không
",condition
"- Em muốn theo web thì có phát triển được không
",condition
"- Các chính sách đào tạo nhân viên của công ty thì sao
",condition
"- làm sao để tôi được đi hàn
",condition
"- Học ai vào làm ở công ty có được không
",condition
"- Làm ở đây sau có bị tù người không
",condition
"- SVMC có những chương trình đào tạo nào cho nhân viên mới
",condition
- trong samsung có dạy nhân viên cách giao tiếp không,condition
"- trong công ty được dạy những gì
",condition
"- Vào Samsung nhàn lắm phải không
",condition
"- Có những chương trình đào tạo nào cho nhân viên mới
",condition
"- công ty có đào tạo từ xa cho nhân viên không
",condition
"- làm trong đó học được nhiều không 
",condition
"- Thấy bảo vào Samsung nhàn lắm à
",condition
"- Các chính sách đào tạo nhân viên của công ty có gì đăc sắc
",condition
"- Svmc có phát triển kỹ năng mềm không
",condition
"- Em muốn theo ai thì có làm được không
",condition
"- Công ty có đào tạo nhân viên không
",condition
"- các chính sách đào tạo công ty như nào
",condition
"- Tôi được đào tạo gì sau khi vào công ty
",condition
"- Sau khi vào công ty được đào tạo những gì
",condition
"- Vào công ty có phát triển được không
",condition
"- Svmc có hoạt động ngoại khóa không
",condition
"- Có phải công ty chỉ làm android không
",condition
"- trong đó có được dạy làm sếp không
",condition
"- Ad cho xin chính sách đào tạo nhân viên sau khi vào công ty
",condition
"- samsung đào tạo kĩ năng mềm gì ạ
",condition
"- Công ty có làm web không
",condition
"- Có các chương trình đào tạo cho nhân viên mới không
",condition
"- SVMC có những chính sách đào tạo nhân viên mới nào
",condition
"- nghe nói samsung được đi hàn học ạ
",condition
"- Công ty có dạy cho nhân viên mới không
",condition
"- nghe nói công ty có dạy tiếng hàn cho nhân viên hả
",condition
"- Vào svmc có phát triển được không
",condition
"- Em chưa biết android vào có được đào tạo không
",condition
"- Các chính sách đào tạo nhân viên của công ty có gì hot không
",condition
"- Ad cho xin các thông tin về đào tạo nhân viên mới
",condition
"- có cơ hội đi nước ngoài đào tạo không
",condition
"- Các chính sách đào tạo nhân viên của công ty như thế nào
",condition
"- các loại chứng chỉ nào cần khi vào công ty
",degree
"- Công ty có bắt buộc phải có bằng cấp tiếng anh không
",degree
"- Tôi có bằng TOPIK có được hơn gì không
",degree
"- Công ty có yêu cầu bằng cấp tiếng anh không
",degree
- bằng cấp có thực sự quan trong trong công ty,degree
"- Lợi thế của việc có bằng tiếng anh
",degree
"- Bằng cấp tiếng anh có bắt buộc khi vào công ty không
",degree
"- Không có bằng cấp tiếng anh có được không
",degree
"- Có bằng tiến sĩ có được hơn gì không
",degree
"- em mới thi xong ILEST và đạt 6.0 ạ
",degree
"- công ty có thêm lương khi có chứng chỉ ngoại ngữ không
",degree
"- Để vào công ty thì có cần bằng cấp tiếng anh không
",degree
"- Ưu tiên gì khi tôi có bằng 
",degree
"- Tôi có bằng có được ưu tiên gì khi vào công ty không
",degree
"- công ty yêu cầu trình đồ ngoại ngữ như nào
",degree
"- Có bằng khi vào công ty có được ưu tiên gì không
",degree
"- Bằng cấp tiếng anh có quan trọng khi xin vào công ty không
",degree
"- Tôi chưa có bằng cấp tiếng anh thì sao hả ad
",degree
"- Không có bằng cấp tiếng anh có ảnh hưởng gì không
",degree
"- chưa có tiếng anh có được không
",degree
"- điểm toiec cần bao nhiêu
",degree
"- Tôi có thêm bằng ILEST có được ưu tiên hơn cái gì không
",degree
"- có cần bằng toiec không
",degree
"- Công ty có yêu cần bằng X không
",degree
"- em mới đạt 550 toiec có được không ạ
",degree
"- Bằng  có cần thiết khi vào công ty không
",degree
"- Tôi có bằng TOIEC có được ưu tiên gì không
",degree
"- 450 có được không
",degree
"- Tôi có thêm bằng HSK có được ưu tiên gì không
",degree
"- Để vào công ty thì bằng cấp tiếng anh có bắt buộc không
",degree
"- - Có yêu cầu bằng cấp tiếng anh không
",degree
"- Bằng cấp tiếng anh có cần thiết khi xin vào công ty không
",degree
"- Nếu xin vào công ty mà chưa có bằng cấp tiếng anh thì sao
",degree
"- tôi có chứng chỉ ngoại ngữ thì có được thêm lương không
",degree
"- tôi sẽ được hơn gì khi có bằng thạc sỹ
",degree
"- Tôi có bằng có được ưu tiên gì không hả ad
",degree
"- Không có bằng cấp tiếng anh thì có được vào công ty không
",degree
"- Số lượng người đỗ có đông không
",employee
"- Hằng năm tuyển bao nhiêu đợt
",employee
"- SVMC có bao nhiêu đợt tuyển trong 1 năm
",employee
"- Số đợt tuyển trong 1 năm có nhiều không
",employee
"- đợt tuyển dụng tiếp theo vào tháng mấy
",employee
"- Số lượng người trúng tuyển có đông không
",employee
"- Tuyển bao nhiêu người
",employee
"- Mỗi năm có tổng cộng mấy đợt tuyển
",employee
"- Công ty có bao nhiêu đợt tuyển mỗi năm
",employee
"- Ad cho xin thông tin lượng người trúng tuyển mỗi năm
",employee
"- Số lượng tuyển trong mỗi năm là bao nhiêu
",employee
"- Mỗi năm có mấy đợt tuyển
",employee
"- Chỉ tiêu tuyển thế nào
",employee
"- Số người trúng tuyển vào SVMC là bao nhiêu
",employee
"- Chỉ tiêu tuyển có nhiều không
",employee
"- Mỗi đợt có bao nhiều người đỗ
",employee
"- Cả năm tuyển bao nhiêu người
",employee
- tuyển nhân viên mới tiếp theo khi nào ạ,employee
"- Số lượng tuyển như thế nào
",employee
"- Ad cho xin chỉ tiêu tuyển nhân viên mỗi năm
",employee
"- Lượng người trúng tuyển mỗi năm là bao nhiêu
",employee
"- SVMC có nhiều đợt tuyển trong 1 năm không
",employee
"- Mỗi năm tuyển mấy đợt
",employee
"- Số lượng người tuyển trong mỗi năm
",employee
"- Ad cho xin số đợt tuyển của công ty
",employee
"- Có bao nhiêu đợt tuyển trong 1 năm
",employee
"- Mỗi năm có bao nhiêu đợt tuyển
",employee
"- Công ty có nhiều đợt tuyển trong 1 năm không
",employee
"- Lượng người trúng tuyển vào SVMC có đông không
",employee
"- Mỗi năm tuyển bao nhiêu người
",employee
"- Một năm tuyển bao nhiêu người
",employee
"- Có tổng cộng bao nhiêu đợt tuyển trong 1 năm
",employee
"- Số lượng tuyển bao nhiêu
",employee
"- tháng 2 có tuyển không
",employee
"- Một năm bao nhiêu người đỗ
",employee
"- Lượng người trúng tuyển vào công ty có đông không
",employee
"- Một năm bao nhiêu người trúng tuyển
",employee
"- Chỉ tiêu tuyển có đông không
",employee
"- Có nhiều đợt tuyển trong 1 năm không
",employee
"- Ad cho xin số đợt tuyển trong 1 năm
",employee
"- Có mấy đợt tuyển trong 1 năm
",employee
"- SVMC có mấy đợt tuyển trong 1 năm
",employee
"- Hằng năm có bao nhiêu đợt tuyển
",employee
"- Mỗi năm có nhiều đợt tuyển không
",employee
"- Tuyển có đông không
",employee
"- Mỗi năm có tổng cộng tuyển mấy đợt
",employee
"- Công ty có mấy đợt tuyển mỗi năm
",employee
"- Mỗi năm tuyển có đông không
",employee
"- Công ty có yêu cầu sinh viên có kinh nghiệm không
",exp
"- Em chưa bao giờ làm dự án thực tế
",exp
"- Em đã có kinh nghiệm 2 năm cho công ty A
",exp
"- Kinh nghiệm có quan trọng với sinh viên không?
",exp
"- E đã có kinh nghiệm 2 năm trước đó
",exp
"- Công ty có nhận người chưa có kinh nghiệp không
",exp
"- Em đã từng làm vài project trên trường
",exp
"- Trước kia tôi từng làm với .net, mysql
",exp
"- Kinh nghiệm bao lâu để được làm việc ở công ty
",exp
"- Tôi chưa có kinh nghiệp có được không
",exp
"- Với sinh viên chưa có kinh nghiệp công ty có yêu cầu gì không
",exp
"- Công ty có yêu cầu sinh viên có kinh nghiệm không?
",exp
"- E chưa có kinh nghiệm
",exp
"- Tôi từng làm việc với Android, PHP
",exp
"- Kinh nghiệm của em hiện tại là 0
",exp
"- Các dự án tôi đã làm gồm: Android, Ios
",exp
"- vị trí này có cần kinh nghiệm không
",exp
"- Kinh nghiệm có quan trọng không
",exp
"- E chưa bao giờ làm dự án thực tế
",exp
"- Tôi chưa làm dự án thực tế bao giờ
",exp
"- kinh nghiệm bao lâu được tuyển vào vị trí này
",exp
"- E mới tốt nghiệp và chưa có kinh nghiệm
",exp
"- Em mới tốt nghiệp nên chưa có kinh nghiệm
",exp
"- Có kinh nghiệp có được ưu tiên gì không
",exp
"- Em chưa có kinh nghiệm có được không
",exp
"- Công ty có nhận sinh viên chưa có kinh nghiệp không
",exp
"- có kinh nghiệm có được thêm lương không
",exp
"- Tôi đã có kinh nghiệm vị trí tương tự trước đó
",exp
"- mức lương theo kinh nghiệm thế nào
",exp
"- Tôi mới ra trường
",exp
"- Công ty yêu cầu kinh nghiệm gì
",exp
"- Tôi đã có kinh nghiệm 2 năm tại công ty Misa
",exp
"- Tôi chưa có kinh nghiệm
",exp
"- Tôi chưa có kinh nghiệm có được tuyển không
",exp
"- E từng làm một vài dự án với các thầy
",exp
"- Công ty có chuyên gia về trí tuệ nhân tạo không
",fields
"- Ad cho xin thông tin về các mảng có trong công ty
",fields
"- bây giờ công ty có làm với bigdata không
",fields
"- công ty có làm về các sản phẩm về web sử dụng go-lang không
",fields
"- team thuật toán trong samsung hiện làm ở đâu
",fields
"- nghe nói công ty có mảng mạng hả
",fields
"- Trong công ty có những lĩnh vực nào
",fields
"- Trong công ty có nhiều phòng ban không
",fields
"- trong công ty bây giờ nghiên cứu gì
",fields
- Các dự án trong công ty có sử dụng công nghệ nào,fields
"- Những lĩnh vực mà công ty đang có
",fields
"- Tôi muốn làm về machine learning 
",fields
"- những bộ phần nào làm việc liên quan đến AI
",fields
"- các bộ phận nào trong công ty
",fields
"- có những bộ phận non-software được không
",fields
"- Ad cho xin thông tin về các phòng ban trong công ty
",fields
"- trong công ty có được làm AI không
",fields
"- Các lĩnh vực có trong công ty
",fields
"- Các mảng có trong công ty
",fields
"- muốn lập trình di động thì vào làm những bộ phận nào
",fields
"- Trong công ty có những phòng ban nào
",fields
"- trong công ty có lập trình mobile không
",fields
"- Trong công ty có những mảng nào
",fields
"- Những phòng ban mà công ty đang phát triển là gì
",fields
"- Những lĩnh vực mà công ty đang phát triển là gì
",fields
"- công ty có còn tuyển vị trí Java dev nữa không
",fields
"- bên công ty có những bộ phận nào
",fields
"- Những phòng ban mà công ty đang có
",fields
"- công ty còn tuyển thực tập sinh AI không
",fields
"- làm sao để làm việc trong team android
",fields
"- bên công ty có làm về front-end không
",fields
"- trong công ty có những part nào
",fields
"- công ty có làm việc với node js không
",fields
"- Những mảng mà công ty đang có
",fields
"- Những mảng mà công ty đang phát triển là gì
",fields
"- trong công ty có team nghiên cứu AI không
",fields
"- công ty một nhân viên có được làm nhiều mảng không
",fields
"- Điểm GPA có quan trong khi xin vào công ty không
",GPA
"-Sinh viên chưa ra trường thì điểm GPA là bao nhiêu
",GPA
"- Muốn vào công ty thì đểm GPA tối thiểu là bao nhiêu
",GPA
"-Vị trí thực tập sinh có cần điểm GPA không
",GPA
"-Lương có tính theo GPA không
",GPA
"- Điểm GPA là bao nhiêu mới có thể vào công ty
",GPA
"-Có phân biệt GPA cao và thấp khi vào công ty không
",GPA
"- Để vào SVMC điểm GPA cần bao nhiêu
",GPA
"- Công ty có đòi hỏi điểm GPA không
",GPA
"- Điểm GPA thấp thì có được vào không
",GPA
"- Điểm GPA của tôi bằng X có vào được công ty không
",GPA
"- Điểm GPA tối thiểu là bao nhiêu để xin vào công ty
",GPA
"-Điểm GPA có ảnh hưởng như thế nào đến lương
",GPA
"-Có kinh nghiệm rồi có yêu cầu GPA không
",GPA
"- Công ty yêu cầu điểm GPA có cao không
",GPA
-Các công việc khác nhau có yêu cầu điểm GPA khác nhau không,GPA
"-Công ty chấp nhận điểm GPA từ bao nhiêu
",GPA
"-Lương có phụ thuộc vào GPA không
",GPA
"-Vị trí thực tập sinh thì điểm GPA là bao nhiêu
",GPA
"-Sinh viên chưa ra trường có yêu cầu điểm GPA không
",GPA
"-Công ty có quan trọng điểm trung bình không
",GPA
"- GPA yêu cầu bao nhiêu
",GPA
"- Điểm GPA của tôi không quá cao có vào được công ty không
",GPA
"-Điểm trung bình đối với các trường khác nhau có khác nhau không
",GPA
"- Điểm GPA có quan trọng khi xin vào công ty không
",GPA
"-Điểm GPA từ bao nhiêu trở lên là được vào công ty
",GPA
"-Điểm GPA cao có được ưu tiên gì không
",GPA
"- Điểm trung bình cao vào công ty có lợi hơn gì không
",GPA
"- Tôi cần điểm GPA bao nhiêu để có thể vào công ty
",GPA
"-Tôi đã có kinh nghiệm rồi thì có cần điểm GPA không
",GPA
"-Điểm trung bình quan trọng như thế nào khi vào công ty
",GPA
"- Tôi muốn vào công ty thì điểm GPA cần bao nhiêu
",GPA
"-Điểm GPA tối thiểu là bao nhiêu để được chấp nhận
",GPA
"-Điểm GPA có ảnh hưởng đến lương không
",GPA
"-Điểm GPA cao có được lương cao hơn không
",GPA
"-Công ty có quan trọng điểm GPA không
",GPA
"-Điểm GPA bao nhiêu là được chấp nhận
",GPA
"- Điểm GPA=x có vào được công ty không
",GPA
"-Điểm GPA quan trọng như thế nào đối với công ty
",GPA
"- Công ty yêu cầu điểm GPA là bao nhiêu
",GPA
"- Công ty có bắt buộc điểm trung bình không
",GPA
"- Để vào công ty thì điểm GPA thế nào
",GPA
"- Điểm trung bình có bắt buộc không
",GPA
"- Điểm trung bình bao nhiêu thì đủ vào công ty
",GPA
"- Công ty có đưa ra yêu cầu gì về điểm GPA
",GPA
"- Ad cho xin thông tin về điểm GPA khi xin vào công ty
",GPA
"-Vị trí thực tập sinh có yêu cầu điểm GPA không
",GPA
"- Để vào công ty cần điểm GPA là bao nhiêu
",GPA
"- GPA bao nhiêu thì đủ
",GPA
"-Tôi đã có kinh nghiệm rồi thì điểm GPA có quan trọng không
",GPA
"-Đối với sinh viên chưa ra trường thì điểm GPA tối thiểu là bao nhiêu
",GPA
"- Điểm trung bình thấp thì sao
",GPA
"- Lịch nghỉ thai sản thế nào
",health
- Chế độ bảo hiểm lao động mà công ty có,health
"- bảo hiểm y tế cho nhân viên thế nào
",health
"- Chính sách thai sản của công ty được nghỉ bao lâu
",health
"- Chính sách thai sản của công ty như thế nào
",health
"- nhân viên có được tham gia bảo hiểm nhân thọ không
",health
"- bảo hiểm thân thể công ty có hỗ trợ cho nhân viên không
",health
"- chính sách bệnh tật cho nhân viên của công ty có hỗ trợ gì không
",health
"- các chính sách hỗ trợ của công ty cho nhân viên bị bệnh tật
",health
"- Chính sách khám sức khỏe của công ty có gì đặc sắc không
",health
"- Chính sách thai sản của công ty thì sao
",health
"- Hàng năm nhân viên có được khám sức khỏe không hả ad
",health
"- Công ty có tổ chức khám sức khỏe hàng năm cho nhân viên không
",health
"- phụ nữ sinh con được nghỉ bao tháng 
",health
"- công ty hỗ trợ người tai nạn lao động không
",health
"- Chính sách thai sản thì sao
",health
"- Ad cho xin chính sách khám sức khỏe của công ty
",health
"- Công ty có chính sách thai sản không
",health
"- Chính sách khám sức khỏe của công ty như thế nào
",health
"- Chính sách thai sản của công ty so với các công ty khác thì sao
",health
"- Chính sách thai sản của công ty như nào
",health
"- SVMC có chính sách khám sức khỏe hàng năm không
",health
"- nhân viên ốm đau công ty hỗ trợ thế nào
",health
"- công ty có hỗ trợ độc hại sức khỏe cho nhân viên lập trình không
",health
"- vào công ty có cần đi kiểm tra sức khỏe không
",health
"- Chế độ bảo hiểm lao động của công ty thì sao
",health
"- SVMC hàng năm có cho nhân viên đi khám sức khỏe không
",health
"- Nhân viên trong công ty có được khám sức khỏe hàng năm không
",health
"- Chính sách thai sản của công ty thế nào hả ad
",health
"- bảo hiểm thân thể công ty trả không
",health
"- Nhân viên công ty có được hưởng chế độ bảo hiểm lao động không
",health
"- Chế độ bảo hiểm lao động trong công ty thế nào
",health
"- Chế độ bảo hiểm lao động của công ty như thế nào
",health
"- Chế độ bảo hiểm lao động của công ty có gì đặc sắc không
",health
"- Lịch nghỉ thai sản được nghỉ nhiều hay ít
",health
"- Công ty có chế độ bảo hiểm lao động cho nhân viên không
",health
"- Công ty có chánh sách khám sức khỏe hàng năm không
",health
"- Công ty có những chế độ bảo hiểm lao động nào
",health
"- công ty tai nạn lao động trong công ty thì công ty sẽ làm gì?
",health
"- Chính sách thai sản của công ty thế nào
",health
"- Ad cho xin chính sách thai sản của công ty
",health
"- Công ty có chế độ bảo hiểm lao động không
",health
"- Chính sách khám sức khỏe của công ty thế nào
",health
"- khám sức khỏe trong công ty có mất phí không
",health
"- mỗi năm khám sức khỏe bao lần
",health
"- Ad cho xin thông tin chính sách thai sản
",health
"- Công ty có chính sách khám sức khỏe hàng năm cho nhân viên không
",health
"- công ty trả tiền bảo hiểm y tế không
",health
